 SWG ID,Date,Collector,Plot,Method,Locality,Coordinates,Order,Family,Genus,Species,M/F,Size,Notes,Field_collector,field_plant_sp,Determined by,Specimen ID status,Status notes,full_plant_sp,TRUE_SP,UT_ID,diversity_exclude,network_exclude,other_exclude,Morphospecies,Site,Plot,Taxon
SWG23_0024,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Lepidoptera,Nymphalidae,Junonia,coenia,,,Pinned ,M. Caballero,MOCI,,,,,,,,,,,,,
SWG23_0025,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Hymenoptera,Halictidae,Lasioglossum (Dialictus),disparile,F,,,E. Rivera,RACO3,,Done,,,,,,,,,,,
SWG23_0026,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Hymenoptera,Apidae,Xylocopa,virginica,,,,R. Kusumo,MOCI,,,,,,,,,,,,,
SWG23_0027,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Hymenoptera,Apidae,Xylocopa,virginica,,,,M. Caballero,MOCI,,,,,,,,,,,,,
SWG23_0028,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Hymenoptera,Apidae,Xylocopa,virginica,,,,M. Caballero,MOCI,,,,,,,,,,,,,
SWG23_0029,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Diptera,Asilidae,,,,,,E. Rivera,MOCI,,,,,,,,,,,,,
SWG23_0030,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Coleoptera,Dermestidae,,,,,,M. Caballero,CITE2,,,,,,,,,,,,,
SWG23_0031,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Lepidoptera,Lycaenidae,Echinargus,isola,,,Pinned,R. Kusumo,DRAM,,,,,,,,,,,,,
SWG23_0032,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Lepidoptera,Nymphalidae,Junonia,coenia,,,Pinned,R. Kusumo,DRAM,,,,,,,,,,,,,
SWG23_0033,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Lepidoptera,Papilionidae,Papilio,polyxenes,,,Pinned,M. Caballero,CITE2,,,,,,,,,,,,,
SWG23_0034,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Lepidoptera,Noctuiidae,Helicoverpa ,zea,,,cornear worm?,E. Rivera,MOCI,,,,,,,,,,,,,
SWG23_0035,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Hymenoptera,Halictidae,Lasioglossum (Dialictus),disparile,F,,,H. Afshar,CITE2,,Done,,,,,,,,,,,
SWG23_0036,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Hymenoptera,Vespidae,Polistes,,,,,M. Caballero,MOCI,,,,,,,,,,,,,
SWG23_0037,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Diptera,Syrfidae,,,,,,E. Rivera,DRAM,,,,,,,,,,,,,
SWG23_0038,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Diptera,Syrfidae,,,,,,H. Afshar,CITE2,,,,,,,,,,,,,
SWG23_0039,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Diptera,Syrfidae,,,,,,R. Kusumo,DRAM,,,,,,,,,,,,,
