ITIS_name,USDA_name,USDA_code,not_in_data
Gutierrezia sarothrae,Gutierrezia sarothrae,GUSA2,F
Helenium amarum,Helenium amarum,HEAM,F
Helenium amarum var. badium,Helenium amarum var. badium,HEAMB2,F
Helianthus annuus,Helianthus annuus,HEAN3,F
Heterotheca canescens,Heterotheca canescens,HECA8,F
Hedeoma drummondii,Hedeoma drummondii,HEDR,F
Helianthus maximiliani,Helianthus maximiliani,HEMA2,F
Helenium microcephalum var. microcephalum,Helenium microcephalum var. microcephalum,HEMIM,F
Hedeoma reverchonii var. reverchonii,Hedeoma reverchonii var. reverchonii,HERER,F
Heterotheca subaxillaris,Heterotheca subaxillaris,HESU3,F
Heliotropium tenellum,Heliotropium tenellum,HETE3,F
Houstonia parviflora,Houstonia parviflora,HOPA3,F
Houstonia pusilla,Houstonia pusilla,HOPU3,F
Hypericum drummondii,Hypericum drummondii,HYDR,F
Hymenopappus scabiosaeus,Hymenopappus scabiosaeus,HYSC,F
Indigofera miniata,Indigofera miniata,INMI,F
Ipomoea lacunosa,Ipomoea lacunosa,IPLA,F
Ipomopsis rubra,Ipomopsis rubra,IPRU2,F
Krigia spp.,Krigia spp.,KRIGI,F
Krameria lanceolata,Krameria lanceolata,KRLA,F
Lamium amplexicaule,Lamium amplexicaule,LAAM,F
Lathyrus hirsutus,Lathyrus hirsutus,LAHI2,F
Lappula occidentalis,Lappula occidentalis,LAOC3,F
Lactuca serriola,Lactuca serriola,LASE,F
Lantana horrida,Lantana urticoides,LAUR2,F
Lespedeza cuneata,Lespedeza cuneata,LECU,F
Physaria engelmannii,Lesquerella engelmannii,LEEN,F
Physaria recurvata,Lesquerella recurvata,LERE4,F
Lespedeza texana,Lespedeza texana,LETE2,F
Lepidium virginicum,Lepidium virginicum,LEVI3,F
Leucanthemum vulgare,Leucanthemum vulgare,LEVU,F
Lithospermum incisum,Lithospermum incisum,LIIN2,F
Linum pratense,Linum pratense,LIPR,F
Liatris punctata var. mucronata,Liatris punctata var. mucronata,LIPUM2,F
Linum rigidum,Linum rigidum,LIRI,F
Lindheimera texana,Lindheimera texana,LITE3,F
Lotus corniculatus,Lotus corniculatus,LOCO6,F
Acmispon americanus var. americanus,Lotus unifoliolatus,LOUNU,F
Lupinus texensis,Lupinus texensis,LUTE,F
Lythrum alatum var. lanceolatum,Lythrum alatum var. lanceolatum,LYALL,F
Lythrum californicum,Lythrum californicum,LYCA4,F
Lygodesmia texana,Lygodesmia texana,LYTE,F
Matelea biflora,Matelea biflora,MABI6,F
Melilotus albus,Melilotus officinalis,MEAL2,F
Medicago sp.,Medicago sp.,MEDIC,F
Melampodium leucanthum,Melampodium leucanthum,MELE2,F
Medicago lupulina,Medicago lupulina,MELU,F
Medicago minima,Medicago minima,MEMI,F
Melilotus officinalis,Melilotus officinalis,MEOF,F
Mentzelia oligosperma,Mentzelia oligosperma,MEOL,F
Medicago sativa,Medicago sativa,MESA,F
Mirabilis albida,Mirabilis albida,MIAL4,F
Mirabilis linearis,Mirabilis linearis,MILI3,F
Mimosa nuttallii,Mimosa nuttallii,MINU6,F
Monarda citriodora,Monarda citriodora,MOCI,F
Monarda fistulosa,Monarda fistulosa,MOFI,F
Monarda punctata,Monarda punctata,MOPU,F
Mollugo verticillata,Mollugo verticillata,MOVE,F
Myosotis macrosperma,Myosotis macrosperma,MYMA,F
Myosotis verna,Myosotis verna,MYVE,F
Nama jamaicensis,Nama jamaicense,NAJA,F
Ampelopsis arborea,Nekemias arborea,NEAR5,F
Nemastylis geminiflora,Nemastylis geminiflora,NEGE,F
Neptunia lutea,Neptunia lutea,NELU2,F
Nothoscordum bivalve,Nothoscordum bivalve,NOBI2,F
Nuttallanthus texanus,Nuttallanthus texanus,NUTE,F
Oenothera laciniata,Oenothera laciniata,OELA,F
Oenothera rhombipetala,Oenothera rhombipetala,OERH,F
Oenothera spachiana,Oenothera spachiana,OESP,F
Oenothera speciosa,Oenothera speciosa,OESP2,F
Oenothera suffrutescens,Oenothera suffrutescens,OESU3,F
Oenothera suffulta,Oenothera suffulta,OESU4,
Oenothera triloba,Oenothera triloba,OETR2,F
,new croton Oka Highway fall 17,OkaCroton,F
Opuntia spp.,Opuntia spp.,OPUNT,F
Oxalis dillenii,Oxalis dillenii,OXDI2,F
