SWG_ID,Date,site.plot,Method,Locality,Coordinates,Order,Family,Genus,Species,M.F,full_plant_sp,site,plotname,taxon,year,season,fieldseason,insect.type,field_plant_sp,TRUE_SP
SWG21_0256,14 VI 2021,Whitney Main,PM netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Diptera,Diptera,Bombyliidae,Exoprosopa,,,Whitney,Main,Diptera_Diptera_Bombyliidae_Exoprosopa,2021,summer,summer2021,,,
SWG21_1540,25 VI 2021,Lewisville Westlake,AM netting,TX: Denton Co; Lake Dallas,"33.108 N, 97.003 W",Diptera,Syrphidae,,,,,Lewisville,Westlake,Diptera_Syrphidae__,2021,summer,summer2021,,,
SWG21_0721,23 VI 2021,Crow Hill,PM netting,TX: Palo Pinto Co; Palo Pinto,"32.715 N, 98.468 W",Diptera,Bombyliidae,Geron,spp.,,Abutilon fruticosum,Crow,Hill,Diptera_Bombyliidae_Geron_spp.,2021,summer,summer2021,,ABFR_,ABFR3
SWG21_1152,19 VI 2021,Wagley Food,AM netting,TX: Palo Pinto Co; Mineral Wells,"32.922 N, 98.16 W",Hymenoptera,Pompilidae,,,,Acaciella angustissima,Wagley,Food,Hymenoptera_Pompilidae__,2021,summer,summer2021,,ACAN,ACAN11
SWG21_1158,19 VI 2021,Wagley Food,AM netting,TX: Palo Pinto Co; Mineral Wells,"32.922 N, 98.16 W",Coleoptera,Scarabaeidae,Euphoria?,,,Acaciella angustissima,Wagley,Food,Coleoptera_Scarabaeidae_Euphoria?_,2021,summer,summer2021,,ACAN,ACAN11
SWG21_1160,19 VI 2021,Wagley Food,AM netting,TX: Palo Pinto Co; Mineral Wells,"32.922 N, 98.16 W",Coleoptera,Dermestidae?,,,,Acaciella angustissima,Wagley,Food,Coleoptera_Dermestidae?__,2021,summer,summer2021,,ACAN,ACAN11
SWG21_1161,19 VI 2021,Wagley Food,AM netting,TX: Palo Pinto Co; Mineral Wells,"32.922 N, 98.16 W",Coleoptera,Dermestidae?,,,,Acaciella angustissima,Wagley,Food,Coleoptera_Dermestidae?__,2021,summer,summer2021,,ACAN,ACAN11
SWG21_1800,27 VI 2021,Hagerman Upper,PM netting,TX: Grayson Co; Sherman,"33.733 N, 96.759 W",Hymenoptera,Vespidae,,,,Acaciella angustissima,Hagerman,Upper,Hymenoptera_Vespidae__,2021,summer,summer2021,,ACAN11,ACAN11
SWG21_1801,27 VI 2021,Hagerman Upper,PM netting,TX: Grayson Co; Sherman,"33.733 N, 96.759 W",Hymenoptera,,,,,Acaciella angustissima,Hagerman,Upper,Hymenoptera___,2021,summer,summer2021,,ACAN11,ACAN11
SWG21_0983,17 VI 2021,Wagley Watertrap,PM netting,TX: Palo Pinto Co; Mineral Wells,"32.91 N, 98.172 W",Coleoptera,Dermestidae?,,,,Achillea millefolium,Wagley,Watertrap,Coleoptera_Dermestidae?__,2021,summer,summer2021,,ACMI2,ACMI2
SWG21_0984,17 VI 2021,Wagley Watertrap,PM netting,TX: Palo Pinto Co; Mineral Wells,"32.91 N, 98.172 W",Coleoptera,Dermestidae?,,,,Achillea millefolium,Wagley,Watertrap,Coleoptera_Dermestidae?__,2021,summer,summer2021,,ACMI2,ACMI2
SWG21_1128,19 VI 2021,Wagley House,PM netting,TX: Palo Pinto Co; Mineral Wells,"32.912 N, 98.159 W",Coleoptera,Gratiana,,,,Achillea millefolium,Wagley,House,Coleoptera_Gratiana__,2021,summer,summer2021,,ACMI2,ACMI2
SWG21_1191,19 VI 2021,Wagley Food,PM netting,TX: Palo Pinto Co; Mineral Wells,"32.922 N, 98.16 W",Coleoptera,Dermestidae?,,,,Achillea millefolium,Wagley,Food,Coleoptera_Dermestidae?__,2021,summer,summer2021,,ACMI2,ACMI2
SWG21_1196,19 VI 2021,Wagley Food,PM netting,TX: Palo Pinto Co; Mineral Wells,"32.922 N, 98.16 W",Coleoptera,Cleridae,,,,Achillea millefolium,Wagley,Food,Coleoptera_Cleridae__,2021,summer,summer2021,,ACMI2,ACMI2
SWG21_1423,20 VI 2021,Clay Deer,PM netting,TX: Palo Pinto Co; Graford,"32.888 N, 98.222 W",Coleoptera,Scarabaeidae,Euphoria,,,Achillea millefolium,Clay,Deer,Coleoptera_Scarabaeidae_Euphoria_,2021,summer,summer2021,,ACMI2,ACMI2
SWG21_1711,29 VI 2021,Hagerman Bennett Hill,AM netting,TX: Grayson Co; Sherman,"33.719 N, 96.773 W",Hymenoptera,Vespidae,,,,Achillea millefolium,Hagerman,Bennett Hill,Hymenoptera_Vespidae__,2021,summer,summer2021,,ACMI,ACMI2
