SWG_ID,Date,site.plot,Method,Locality,Coordinates,Order,Family,Genus,Species,M.F,full_plant_sp,site,plotname,taxon,year,season,fieldseason,insect.type,field_plant_sp,TRUE_SP
SWG17_0020,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Melissodes,tepaneca,F,Phyla nodiflora,Stillhouse,50 Acres,Hymenoptera_Apidae_Melissodes_tepaneca,2017,summer,summer2017,bee,,
SWG17_0021,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Xylocopa,virginica,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Xylocopa_virginica,2017,summer,summer2017,bee,,
SWG17_0022,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Halictidae,Lasioglossum,disparile,M,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Halictidae_Lasioglossum_disparile,2017,summer,summer2017,bee,,
SWG17_0023,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0024,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Coleoptera,Meloidae,Epicauta,sericans,NA,Pyrrhopappus pauciflorus,Stillhouse,50 Acres,Coleoptera_Meloidae_Epicauta_sericans,2017,summer,summer2017,beetle,,
SWG17_0025,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Diptera,Syrphidae,Toxomerus,marginatus,NA,Phyla nodiflora,Stillhouse,50 Acres,Diptera_Syrphidae_Toxomerus_marginatus,2017,summer,summer2017,fly,,
SWG17_0026,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0027,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Halictidae,Lasioglossum,sp. TX-3,F,Phyla nodiflora,Stillhouse,50 Acres,Hymenoptera_Halictidae_Lasioglossum_sp. TX-3,2017,summer,summer2017,bee,,
SWG17_0028,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0029,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Halictidae,Lasioglossum,sp. TX-3,F,Oenothera speciosa,Stillhouse,50 Acres,Hymenoptera_Halictidae_Lasioglossum_sp. TX-3,2017,summer,summer2017,bee,,
SWG17_0030,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Phyla nodiflora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0031,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0032,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0033,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0034,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0035,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Halictidae,Halictus,ligatus,M,Glandularia bipinnatifida,Stillhouse,50 Acres,Hymenoptera_Halictidae_Halictus_ligatus,2017,summer,summer2017,bee,,
SWG17_0036,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Diptera,Syrphidae,Toxomerus,marginatus,NA,Monarda citriodora,Stillhouse,50 Acres,Diptera_Syrphidae_Toxomerus_marginatus,2017,summer,summer2017,fly,,
SWG17_0037,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0038,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0040,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Halictidae,Lasioglossum,sp. TX-3,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Halictidae_Lasioglossum_sp. TX-3,2017,summer,summer2017,bee,,
SWG17_0041,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0042,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Melissodes,tepaneca,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Melissodes_tepaneca,2017,summer,summer2017,bee,,
SWG17_0043,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0044,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0045,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Halictidae,Lasioglossum,tegulare,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Halictidae_Lasioglossum_tegulare,2017,summer,summer2017,bee,,
SWG17_0046,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0047,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Xylocopa,virginica,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Xylocopa_virginica,2017,summer,summer2017,bee,,
SWG17_0048,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0051,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
