site,plotname,prop_seminat_500m,prop_grassy_500m,prop_woody_500m,prop_wetland_500m,prop_dev_500m,prop_ag_500m,prop_water_500m,prop_seminat_750m,prop_grassy_750m,prop_woody_750m,prop_wetland_750m,prop_dev_750m,prop_ag_750m,prop_water_750m,prop_seminat_1km,prop_grassy_1km,prop_woody_1km,prop_wetland_1km,prop_dev_1km,prop_ag_1km,prop_water_1km,NP_500m,TE_500m,NP_750m,TE_750m,NP_1km,TE_1km
Oka,Town,0.886179,0.850174,0.036005,0,0.113822,0.570267,0,0.880346,0.824847,0.055499,0,0.119654,0.51222,0,0.887996,0.785756,0.10224,0,0.112005,0.473866,0,30,10110,58,23340,95,42210
Stillhouse,50 Acres,0.926573,0.926573,0,0,0.040793,0,0.032634,0.880474,0.863988,0.016486,0,0.028336,0,0.09119,0.795755,0.726334,0.069421,5.74E-04,0.021227,0,0.182444,5,3420,12,7500,38,17160
Stillhouse,Dana Peak,0.82168,0.541958,0.279722,0.008159,0.11655,0,0.055944,0.643596,0.427169,0.216427,0.009298,0.120868,0,0.230888,0.56639,0.385432,0.180958,0.005162,0.097218,0,0.333525,45,12510,90,28980,138,45330
Stillhouse,Union Grove,0.810968,0.544924,0.266044,0,0.102683,0,0.086348,0.687306,0.470588,0.216718,0.003096,0.101135,0,0.211558,0.552948,0.37407,0.178878,0.001717,0.080996,0,0.36577,46,14280,72,29310,92,42120
Stillhouse,WMA5,0.86636,0.648618,0.217742,0,0.051843,0,0.080645,0.774858,0.618238,0.15662,0,0.040186,0,0.184441,0.708965,0.559439,0.149526,0,0.050416,0,0.240332,24,9090,41,15630,73,26880
Waco,Area 111,0.797921,0.73903,0.058891,0.046189,0.099307,0.137413,0,0.762876,0.619072,0.143804,0.076492,0.073432,0.266701,0,0.715431,0.549384,0.166047,0.07558,0.106499,0.275694,0,21,7620,42,20340,104,42810
Waco,Area 12,0.782559,0.563953,0.218606,0.052326,0.147675,0,0.065116,0.744768,0.507402,0.237366,0.074528,0.104134,0,0.147524,0.61119,0.397704,0.213486,0.088092,0.078623,0,0.306169,47,15180,81,31020,115,45120
Waco,Area 48,0.848101,0.760644,0.087457,0.049482,0.125431,0.410817,0.018412,0.702884,0.65345,0.049434,0.031926,0.182286,0.284243,0.04068,0.633544,0.584147,0.049397,0.027858,0.14934,0.301264,0.074957,42,14160,72,29040,105,43350
Waco,Area 52,0.913754,0.890443,0.023311,0.013986,0.064103,0.031469,0.020979,0.786884,0.740266,0.046618,0.04252,0.074283,0.079918,0.136783,0.66294,0.568071,0.094869,0.058469,0.067928,0.091144,0.265119,15,5370,36,14490,81,33420
Wagley,Airstrip,1,0.452214,0.547786,0,0,0,0,1,0.400514,0.599486,0,0,0,0,1,0.35788,0.642121,0,0,0,0,10,6840,25,13950,48,30150
Wagley,Food,1,0.21071,0.78929,0,0,0,0,1,0.249872,0.750128,0,0,0,0,0.997703,0.265786,0.731917,0,0.002296,0,0,18,9690,43,25800,75,43170
Wagley,House,0.989485,0.400701,0.588784,0,0,0,0.010514,0.993837,0.421674,0.572163,0,0,0,0.006163,0.996561,0.444126,0.552435,0,0,0,0.003438,18,10740,35,21450,61,38010
Wagley,Watertrap,1,0.36534,0.634661,0,0,0,0,1,0.312724,0.687277,0,0,0,0,1,0.282895,0.717105,0,0,0,0,18,11640,37,25380,47,36720
Whitney,50 Acres,0.895227,0.641443,0.253784,0.012806,0.091967,0.122235,0.006985,0.91291,0.581967,0.330943,0.008197,0.081455,0.10041,0.003074,0.876972,0.560654,0.316318,0.009177,0.109263,0.098365,0.008317,40,11760,83,29700,165,59640
Whitney,Flood,0.831422,0.668578,0.162844,0,0.168579,0,0,0.845048,0.562853,0.282195,0,0.150846,0,0.004105,0.813646,0.517202,0.296444,0,0.154816,0.00172,0.030677,32,12390,82,33180,149,61500
Whitney,Main,0.891204,0.702546,0.188658,0,0.106481,0,0.002315,0.883316,0.642272,0.241044,0,0.11566,0.008188,0.001024,0.87036,0.60137,0.26899,0,0.126785,0.038549,0.002856,29,11040,59,27270,126,55830
Whitney,Woods,0.966396,0.563152,0.403244,0,0.031286,0,0.002317,0.864146,0.536261,0.327885,0.001021,0.123595,0.002553,0.010725,0.771829,0.473232,0.298597,0.004294,0.144861,0.01231,0.081592,24,12450,75,31380,150,58200
