Genus_species,Native,Nesting Behavior,Voltinism,Sociality,Foraging Behavior,Tongue Length
Andrena_wilkella,N,Ground,NA,Solitary,Specialist,Short
Megachile_concinna,N,Cavity,NA,Solitary,NA,Long
Megachile_rotundata,N,Cavity,NA,Solitary,NA,Long
Apis_mellifera,N,Open,Multivoltine,Eusocial,Generalist,Long
Andrena_sodalis,N,Ground,NA,Solitary,NA,Short
Andrena_vulpoides,N,Ground,NA,Solitary,NA,Short
Colletes_creticus,N,Ground,NA,Solitary,Generalist,Short
Hylaeus_hyalinatus,N,Multiple,NA,Solitary,NA,Short
Hylaeus_leptocephalus,N,Multiple,NA,Solitary,NA,Short
Hylaeus_punctatus,N,Multiple,NA,Solitary,Generalist,Short
Ceratina_cobaltina,N,Wood,NA,Subsocial,Generalist,Long
Ceratina_dallatorreana,N,Wood,NA,Subsocial,Generalist,Long
Anthophora_plumipes,N,Ground,NA,Solitary,Generalist,NA
Centris _eisenii,N,Ground,NA,Solitary,NA,Long
Centris_nitida,N,Wood,NA,Solitary,Specialist,Long
Anthidium_manicatum,N,Multiple,Bivoltine,Solitary,Generalist,Long
Anthidium_oblongatum,N,Multiple,Univoltine,Solitary,Generalist,Long
Bombus_distinguendus,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_jonellus,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_lucorum,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_atratus,N,Multiple,Multivoltine,Primitively Eusocial,Generalist,Long
Bombus_bohemicus,N,Host Nest,NA,Parasitic,Generalist,NA
Bombus_flavidus,N,Host Nest,NA,Parasitic,Generalist,NA
Bombus_hypnorum,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Apis_hypnorum,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_lapidarius,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,Short
Apis_lapidaria,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,Short
Bombus_lapponicus,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_lepidus,N,NA,NA,NA,Generalist,NA
Bombus_opifex,N,NA,NA,NA,Generalist,NA
Bombus_pascuorum,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_soroeensis,N,Cavity ,Multivoltine,Primitively Eusocial,Generalist,NA
Chelostoma_campanularum,N,Wood,Univoltine,Solitary,Specialist,Long
Chelostoma_rapunculi,N,Wood,Univoltine,Solitary,Specialist,Long
Hoplitis_anthocopoides,N,Multiple,NA,Plastic,NA,Long
Osmia_caerulescens,N,Cavity,NA,Solitary,Generalist,Long
Osmia_cornifrons,N,Cavity,NA,Solitary,NA,Long
Osmia_taurus,N,Cavity,NA,Solitary,NA,Long
Andrena_agilissima,N,Ground,Univoltine,Communal,Specialist,Short
Andrena_bicolor,N,Ground,Bivoltine,Solitary,Generalist,Short
Andrena_bimaculata,N,Ground,Bivoltine,Solitary,Generalist,Short
Andrena_carantonica,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_chrysosceles,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_colletiformis,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_flavipes,N,Ground,Bivoltine,Solitary,Generalist,Short
Andrena_fulvida,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_haemorrhoa,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_hattorfiana,N,Ground,Univoltine,Solitary,Specialist,Short
Andrena_impunctata,N,Ground,Bivoltine,Solitary,Generalist,Short
Andrena_labiata,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_labiatula,N,Ground,NA,Solitary,NA,Short
Andrena_nitida,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_nitidiuscula,N,Ground,NA,Solitary,Specialist,Short
Andrena_ovatula,N,Ground,Bivoltine,Solitary,Generalist,Short
Andrena_pilipes,N,Ground,NA,Solitary,Generalist,Short
Andrena_nigrospina,N,Ground,NA,Solitary,Generalist,Short
Andrena_relata,N,Ground,NA,Solitary,Specialist,Short
Andrena_ruficrus,N,Ground,Univoltine,Solitary,Specialist,Short
Andrena_seminuda,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_similis,N,Ground,Univoltine,Solitary,Specialist,Short
Andrena_symphyti,N,Ground,Univoltine,Solitary,Specialist,Short
Andrena_trikalensis,N,Ground,NA,Solitary,NA,Short
Andrena_trimmerana,N,Ground,NA,Solitary,Generalist,Short
Andrena_variabilis,N,Ground,Bivoltine,Solitary,Generalist,Short
Andrena_verae,N,Ground,NA,Solitary,Generalist,Short
Hylaeus_albonitens,N,NA,NA,Solitary,NA,Short
Hylaeus_crassanus,N,Multiple,NA,Solitary,NA,Short
Hylaeus_hellenicus,N,Multiple,NA,Solitary,NA,Short
Hylaeus_pictipes,N,Stem,Univoltine,Solitary,Generalist,Short
Hylaeus_strenuus,N,Wood,NA,Solitary,NA,Short
Anthidium_florentinum,N,Multiple,Univoltine,Solitary,Generalist,Long
Lithurgus_chrysurus,N,Wood,Univoltine,Solitary,Specialist,Long
Lithurgus_cornutus,N,Wood,Univoltine,Solitary,Specialist,Long
Lithurgus_scabrosus,N,Wood,NA,Solitary,Specialist,Long
Hoplitis_graeca,N,Cavity,NA,Solitary,Specialist,Long
Hoplitis_ravouxi,N,Cavity,NA,Solitary,Generalist,Long
Hoplitis_ebmeri,N,Cavity,NA,Solitary,Generalist,Long
Osmia_alticola,N,Cavity,NA,Solitary,Specialist,Long
Osmia_avosetta,N,Multiple,NA,Solitary,NA,Long
Osmia_breviata,N,Cavity,NA,Solitary,Specialist,Long
Osmia_palmae,N,Cavity,NA,Solitary,NA,Long
Osmia_parietina,N,Cavity,NA,Solitary,Generalist,Long
Halictus_compressus,N,Ground,NA,Plastic,Generalist,Short
Halictus_eurygnathopsis,N,Ground,NA,Plastic,Generalist,Short
Halictus_concinnus,N,Ground,NA,Plastic,Generalist,Short
Halictus_consobrinus,N,Ground,NA,Plastic,Generalist,Short
Halictus_maroccanus,N,Ground,NA,Plastic,Generalist,Short
Halictus_inpilosus,N,Ground,NA,Plastic,Generalist,Short
Halictus_lanei,N,Ground,NA,Plastic,Generalist,Short
Halictus_rossicus,N,Ground,NA,Plastic,Generalist,Short
Halictus_sexcinctus,N,Ground,NA,Plastic,Generalist,Short
Halictus_tectus,N,Ground,NA,Plastic,Generalist,Short
Halictus_tumulorum,N,Ground,NA,Plastic,Generalist,Short
Lasioglossum_boreale,N,Ground,NA,NA,Generalist,Short
Lasioglossum_discum,N,Ground,NA,NA,Specialist,Short
Lasioglossum_leucozonium,N,Ground,NA,Solitary,Generalist,Short
Lasioglossum_novascotiae,N,Ground,NA,NA,NA,Short
Lasioglossum_rufitarse,N,Ground,NA,Solitary,Generalist,Short
Lasioglossum_xanthopus,N,Ground,NA,Solitary,Generalist,Short
Lasioglossum_zonulum,N,Ground,NA,NA,Generalist,Short
Sphecodes_albilabris,N,Host Nest,NA,Parasitic,NA,Short
Sphecodes_atlanticus,N,Host Nest,NA,Parasitic,NA,Short
Coelioxys_coturnix,N,Host Nest,NA,Parasitic,NA,Long
Coelioxys_rufescens,N,Host Nest,NA,Parasitic,NA,Long
Megachile_apicalis,N,Cavity,NA,Solitary,Specialist,Long
Megachile_centuncularis,N,Cavity,NA,Solitary,Generalist,Long
Megachile_circumcincta,N,Ground,Univoltine,Solitary,Generalist,Long
Megachile_ericetorum,N,Cavity,Univoltine,Solitary,Specialist,Long
Megachile_lanata,N,Cavity,NA,Solitary,NA,Long
Megachile_sculpturalis,N,Cavity,NA,Solitary,NA,Long
Amegilla_quadrifasciata,N,Ground,Univoltine,Solitary,Generalist,Long
Anthophora_furcata,N,Wood,Univoltine,Solitary,NA,Medium
Anthophora_harmalae,N,Ground,NA,Solitary,Specialist,Medium
Melipona_quadrifasciata,N,Wood,NA,Eusocial,NA,Long
Ceratina _dentipes,N,Wood,NA,Subsocial,NA,Long
Ceratina_smaragdula,N,Wood,NA,Subsocial,Generalist,Long
Apis_smaragdula,N,Wood,NA,Subsocial,Generalist,Long
Xylocopa_alticola,N,Wood,Univoltine,Solitary,Generalist,Long
Xylocopa_appendiculata,N,Wood,Univoltine,Solitary,NA,Long
Nomada_antennata,N,Host Nest,NA,Parasitic,NA,Long
Nomada_argentata,N,Host Nest,Univoltine,Parasitic,NA,Long
Nomada_coronata,N,Host Nest,NA,Parasitic,NA,Long
Nomada_priscilla,N,Host Nest,NA,Parasitic,NA,Long
Halictus_senex,N,Ground,NA,Plastic,Generalist,Short
Halictus_eurygnathus,N,Ground,NA,Plastic,Generalist,Short
Bombus_simillimus,N,NA,NA,NA,Generalist,NA
Bombus_terrestris,N,Cavity ,Multivoltine,Primitively Eusocial,Generalist,NA
Apis_terrestris,N,Cavity ,Multivoltine,Primitively Eusocial,Generalist,NA
Andrena_ablegata,NA,Ground,NA,Solitary,NA,Short
Andrena_afimbriata,NA,Ground,NA,Solitary,NA,Short
Andrena_agoseridis,NA,Ground,NA,Solitary,NA,Short
Andrena_alamonis,NA,Ground,NA,Solitary,NA,Short
Andrena_albiculta,NA,Ground,NA,Solitary,NA,Short
Andrena_angusticrus,NA,Ground,NA,Solitary,NA,Short
Andrena_angustitarsata,NA,Ground,NA,Solitary,NA,Short
Andrena_annectens,NA,Ground,NA,Solitary,NA,Short
Andrena_anograe,NA,Ground,NA,Solitary,Specialist,Short
Andrena_apacheorum,NA,Ground,NA,Solitary,NA,Short
Andrena_aquila,NA,Ground,NA,Solitary,NA,Short
Andrena_arctostaphylae,NA,Ground,NA,Solitary,NA,Short
Andrena_ardis,NA,Ground,NA,Solitary,NA,Short
Andrena_arenicola,NA,Ground,NA,Solitary,NA,Short
Andrena_atypica,NA,Ground,NA,Solitary,NA,Short
Andrena_aurihirta,NA,Ground,NA,Solitary,NA,Short
Andrena_auripes,NA,Ground,NA,Solitary,NA,Short
Andrena_avulsa,NA,Ground,NA,Solitary,NA,Short
Andrena_balsamhorizae,NA,Ground,NA,Solitary,NA,Short
Andrena_beameri,NA,Ground,NA,Solitary,NA,Short
Andrena_bendensis,NA,Ground,NA,Solitary,NA,Short
Andrena_berberidis,NA,Ground,NA,Solitary,NA,Short
Andrena_biareola,NA,Ground,NA,Solitary,NA,Short
Andrena_birtwelli,NA,Ground,NA,Solitary,NA,Short
Andrena_biscutellata,NA,Ground,NA,Solitary,NA,Short
Andrena_bocensis,NA,Ground,NA,Solitary,NA,Short
Andrena_brevicornis,NA,Ground,NA,Solitary,NA,Short
Andrena_brevipalpis,NA,Ground,NA,Solitary,NA,Short
Andrena_bruneri,NA,Ground,NA,Solitary,NA,Short
Andrena_bucculenta,NA,Ground,NA,Solitary,NA,Short
Andrena_buckelli,NA,Ground,NA,Solitary,NA,Short
Andrena_bullata,NA,Ground,NA,Solitary,NA,Short
Andrena_caerulea,NA,Ground,NA,Solitary,NA,Short
Andrena_californiensis,NA,Ground,NA,Solitary,NA,Short
Andrena_caliginosa,NA,Ground,NA,Solitary,NA,Short
Andrena_calvata,NA,Ground,NA,Solitary,NA,Short
Andrena_camissoniae,NA,Ground,NA,Solitary,NA,Short
Andrena_candidiformis,NA,Ground,NA,Solitary,NA,Short
Andrena_capricornis,NA,Ground,NA,Solitary,NA,Short
Andrena_ceanothifloris,NA,Ground,NA,Solitary,NA,Short
Andrena_cercocarpi,NA,Ground,NA,Solitary,NA,Short
Andrena_cerebrata,NA,Ground,NA,Solitary,NA,Short
Andrena_chalybioides,NA,Ground,NA,Solitary,NA,Short
Andrena_chaparralensis,NA,Ground,NA,Solitary,NA,Short
Andrena_chapmanae,NA,Ground,NA,Solitary,NA,Short
Andrena_cheyennorum,NA,Ground,NA,Solitary,NA,Short
Andrena_chlorosoma,NA,Ground,NA,Solitary,NA,Short
Andrena_chlorura,NA,Ground,NA,Solitary,NA,Short
Andrena_citrinihirta,NA,Ground,NA,Solitary,NA,Short
Andrena_coactipostica,NA,Ground,NA,Solitary,NA,Short
Andrena_colletina,NA,Ground,NA,Solitary,NA,Short
Andrena_columbiana,NA,Ground,NA,Solitary,NA,Short
Andrena_coruscata,NA,Ground,NA,Solitary,NA,Short
Andrena_costillensis,NA,Ground,NA,Solitary,NA,Short
Andrena_curvungula,NA,Ground,Univoltine,Solitary,Specialist,Short
Andrena_cristata,NA,Ground,NA,Solitary,NA,Short
Andrena_cruciferarum,NA,Ground,NA,Solitary,NA,Short
Andrena_crudeni,NA,Ground,NA,Solitary,NA,Short
Andrena_cryptanthae,NA,Ground,NA,Solitary,NA,Short
Andrena_cuneilabris,NA,Ground,NA,Solitary,NA,Short
Andrena_cupreotincta,NA,Ground,NA,Solitary,NA,Short
Andrena_cyanophila,NA,Ground,NA,Solitary,NA,Short
Andrena_cyanosoma,NA,Ground,NA,Solitary,NA,Short
Andrena_cymatilis,NA,Ground,NA,Solitary,NA,Short
Andrena_dapsilis,NA,Ground,NA,Solitary,NA,Short
Andrena_declinis,NA,Ground,NA,Solitary,NA,Short
Andrena_dimorpha,NA,Ground,NA,Solitary,NA,Short
Andrena_dissimulans,NA,Ground,NA,Solitary,NA,Short
Andrena_eothina,NA,Ground,NA,Solitary,NA,Short
Andrena_evoluta,NA,Ground,NA,Solitary,NA,Short
Andrena_faceta,NA,Ground,NA,Solitary,NA,Short
Andrena_ferrugineipes,NA,Ground,NA,Solitary,NA,Short
Andrena_flaminea,NA,Ground,NA,Solitary,NA,Short
Andrena_flocculosa,NA,Ground,NA,Solitary,NA,Short
Andrena_foxii,NA,Ground,NA,Solitary,NA,Short
Andrena_fracta,NA,Ground,NA,Solitary,NA,Short
Andrena_fulgida,NA,Ground,NA,Solitary,NA,Short
Andrena_gibberis,NA,Ground,NA,Solitary,NA,Short
Andrena_gnaphalii,NA,Ground,NA,Solitary,NA,Short
Andrena_gordoni,NA,Ground,NA,Solitary,NA,Short
Andrena_grindeliae,NA,Ground,NA,Solitary,NA,Short
Andrena_hallii,NA,Ground,NA,Solitary,NA,Short
Andrena_hamulata,NA,Ground,NA,Solitary,NA,Short
Andrena_hastulata,NA,Ground,NA,Solitary,NA,Short
Andrena_hermosa,NA,Ground,NA,Solitary,NA,Short
Andrena_hicksi,NA,Ground,NA,Solitary,NA,Short
Andrena_hurdi,NA,Ground,NA,Solitary,NA,Short
Andrena_hypoleuca,NA,Ground,NA,Solitary,NA,Short
Andrena_ignota,NA,Ground,NA,Solitary,Specialist,Short
Andrena_illustris,NA,Ground,NA,Solitary,NA,Short
Andrena_inclinata,NA,Ground,NA,Solitary,NA,Short
Andrena_inculta,NA,Ground,NA,Solitary,NA,Short
Andrena_ishii,NA,Ground,NA,Solitary,NA,Short
Andrena_kaibabensis,NA,Ground,NA,Solitary,NA,Short
Andrena_knuthiana,NA,Ground,NA,Solitary,NA,Short
Andrena_kristina,NA,Ground,NA,Solitary,NA,Short
Andrena_labergei,NA,Ground,NA,Solitary,NA,Short
Andrena_laminibucca,NA,Ground,NA,Solitary,NA,Short
Andrena_latifrons,NA,Ground,NA,Solitary,NA,Short
Andrena_latinensis,NA,Ground,NA,Solitary,NA,Short
Andrena_lativentris,NA,Ground,NA,Solitary,NA,Short
Andrena_lauta,NA,Ground,NA,Solitary,NA,Short
Andrena_lawrencei,NA,Ground,NA,Solitary,Generalist,Short
Andrena_layiae,NA,Ground,NA,Solitary,NA,Short
Andrena_lewisorum,NA,Ground,NA,Solitary,NA,Short
Andrena_livida,NA,Ground,NA,Solitary,NA,Short
Andrena_lomatii,NA,Ground,NA,Solitary,NA,Short
Andrena_longifovea,NA,Ground,NA,Solitary,NA,Short
Andrena_lupinorum,NA,Ground,NA,Solitary,NA,Short
Andrena_luteihirta,NA,Ground,NA,Solitary,NA,Short
Andrena_mackieae,NA,Ground,NA,Solitary,NA,Short
Andrena_macrocephala,NA,Ground,NA,Solitary,NA,Short
Andrena_macswaini,NA,Ground,NA,Solitary,NA,Short
Andrena_mariposorum,NA,Ground,NA,Solitary,NA,Short
Andrena_mellea,NA,Ground,NA,Solitary,NA,Short
Andrena_merriami,NA,Ground,NA,Solitary,Generalist,Short
Andrena_mesillae,NA,Ground,NA,Solitary,NA,Short
Andrena_mesoleuca,NA,Ground,NA,Solitary,NA,Short
Andrena_micheneri,NA,Ground,NA,Solitary,NA,Short
Andrena_microchlora,NA,Ground,NA,Solitary,Generalist,Short
Andrena_miniata,NA,Ground,NA,Solitary,NA,Short
Andrena_misella,NA,Ground,NA,Solitary,NA,Short
Andrena_mojavensis,NA,Ground,NA,Solitary,NA,Short
Andrena_monoensis,NA,Ground,NA,Solitary,NA,Short
Andrena_monogonoparia,NA,Ground,NA,Solitary,NA,Short
Andrena_montrosensis,NA,Ground,NA,Solitary,NA,Short
Andrena_moquiorum,NA,Ground,NA,Solitary,NA,Short
Andrena_murietae,NA,Ground,NA,Solitary,NA,Short
Andrena_nemophilae,NA,Ground,NA,Solitary,NA,Short
Andrena_neomexicana,NA,Ground,NA,Solitary,NA,Short
Andrena_nevadae,NA,Ground,NA,Solitary,NA,Short
Andrena_nevadensis,NA,Ground,NA,Solitary,NA,Short
Andrena_nida,NA,Ground,NA,Solitary,NA,Short
Andrena_nigrae,NA,Ground,NA,Solitary,NA,Short
Andrena_nigripes,NA,Ground,NA,Solitary,Specialist,Short
Andrena_nigroclypeata,NA,Ground,NA,Solitary,NA,Short
Andrena_nothocalaidis,NA,Ground,NA,Solitary,NA,Short
Andrena_obscuripostica,NA,Ground,NA,Solitary,NA,Short
Andrena_parachalybea,NA,Ground,NA,Solitary,NA,Short
Andrena_penutiani,NA,Ground,NA,Solitary,NA,Short
Andrena_perezana,NA,Ground,NA,Solitary,NA,Short
Andrena_perpunctata,NA,Ground,NA,Solitary,NA,Short
Andrena_pertristis,NA,Ground,NA,Solitary,NA,Short
Andrena_phaceliae,NA,Ground,NA,Solitary,NA,Short
Andrena_plana,NA,Ground,NA,Solitary,NA,Short
Andrena_platyrhina,NA,Ground,NA,Solitary,NA,Short
Andrena_plebeia,NA,Ground,NA,Solitary,NA,Short
Andrena_plumiscopa,NA,Ground,NA,Solitary,NA,Short
Andrena_porterae,NA,Ground,NA,Solitary,NA,Short
Andrena_primulifrons,NA,Ground,NA,Solitary,NA,Short
Andrena_prolixa,NA,Ground,NA,Solitary,NA,Short
Andrena_quadrilimbata,NA,Ground,NA,Solitary,NA,Short
Andrena_quericina,NA,Ground,NA,Solitary,NA,Short
Andrena_quintiliformis,NA,Ground,NA,Solitary,NA,Short
Andrena_ramaleyi,NA,Ground,NA,Solitary,NA,Short
Andrena_ribblei,NA,Ground,NA,Solitary,NA,Short
Andrena_robinsoni,NA,Ground,NA,Solitary,NA,Short
Andrena_rodilla,NA,Ground,NA,Solitary,Specialist,Short
Andrena_rubrotincta,NA,Ground,NA,Solitary,Specialist,Short
Andrena_saccata,NA,Ground,NA,Solitary,NA,Short
Andrena_sagittagalea,NA,Ground,NA,Solitary,Specialist,Short
Andrena_santaclarae,NA,Ground,NA,Solitary,NA,Short
Andrena_schuhi,NA,Ground,NA,Solitary,NA,Short
Andrena_scutellinitens,NA,Ground,NA,Solitary,NA,Short
Andrena_shoshoni,NA,Ground,NA,Solitary,NA,Short
Andrena_siccata,NA,Ground,NA,Solitary,NA,Short
Andrena_simulata,NA,Ground,NA,Solitary,NA,Short
Andrena_sladeni,NA,Ground,NA,Solitary,NA,Short
Andrena_sonorensis,NA,Ground,NA,Solitary,NA,Short
Andrena_specularia,NA,Ground,NA,Solitary,NA,Short
Andrena_sperryi,NA,Ground,NA,Solitary,NA,Short
Andrena_subapasta,NA,Ground,NA,Solitary,NA,Short
Andrena_subchalybea,NA,Ground,NA,Solitary,NA,Short
Andrena_subdepressa,NA,Ground,NA,Solitary,NA,Short
Andrena_submoesta,NA,Ground,NA,Solitary,NA,Short
Andrena_subnigripes,NA,Ground,NA,Solitary,NA,Short
Andrena_sulcata,NA,Ground,NA,Solitary,NA,Short
Andrena_surda,NA,Ground,NA,Solitary,NA,Short
Andrena_tildeni,NA,Ground,NA,Solitary,NA,Short
Andrena_timberlakei,NA,Ground,NA,Solitary,NA,Short
Andrena_torulosa,NA,Ground,NA,Solitary,NA,Short
Andrena_trapezoidea,NA,Ground,NA,Solitary,NA,Short
Andrena_trimaculata,NA,Ground,NA,Solitary,NA,Short
Andrena_trizonata,NA,Ground,NA,Solitary,NA,Short
Andrena_utahensis,NA,Ground,NA,Solitary,NA,Short
Andrena_uvulariae,NA,Ground,NA,Solitary,NA,Short
Andrena_vandykei,NA,Ground,NA,Solitary,NA,Short
Andrena_venata,NA,Ground,NA,Solitary,NA,Short
Andrena_vestali,NA,Ground,NA,Solitary,NA,Short
Andrena_vicinoides,NA,Ground,NA,Solitary,NA,Short
Andrena_vierecki,NA,Ground,NA,Solitary,NA,Short
Andrena_viridissima,NA,Ground,NA,Solitary,NA,Short
Andrena_walleyi,NA,Ground,NA,Solitary,NA,Short
Andrena_washingtoni,NA,Ground,NA,Solitary,NA,Short
Andrena_xanthigera,NA,Ground,NA,Solitary,NA,Short
Andrena_zionensis,NA,Ground,NA,Solitary,NA,Short
Colletes_annae,NA,Ground,NA,Solitary,NA,Short
Colletes_consors,NA,Ground,NA,Solitary,NA,Short
Colletes_fulgidus,NA,Ground,NA,Solitary,Generalist,Short
Colletes_lutzi,NA,Ground,NA,Solitary,NA,Short
Colletes_paniscus,NA,Ground,NA,Solitary,NA,Short
Colletes_punctipennis,NA,Ground,NA,Solitary,NA,Short
Colletes_texanus,NA,Ground,NA,Solitary,NA,Short
Colletes_xerophilus,NA,Ground,NA,Solitary,NA,Short
Colletes_algarobiae,NA,Ground,NA,Solitary,NA,Short
Colletes_alini,NA,Ground,NA,Solitary,NA,Short
Colletes_andrewsi,NA,Ground,NA,Solitary,NA,Short
Colletes_angelicus,NA,Ground,NA,Solitary,NA,Short
Colletes_aridus,NA,Ground,NA,Solitary,NA,Short
Colletes_arizonensis,NA,Ground,NA,Solitary,NA,Short
Colletes_beamerorum,NA,Ground,NA,Solitary,NA,Short
Colletes_birkmanni,NA,Ground,NA,Solitary,NA,Short
Colletes_bradleyi,NA,Ground,NA,Solitary,NA,Short
Colletes_brimleyi,NA,Ground,NA,Solitary,NA,Short
Colletes_bulbotibialis,NA,Ground,NA,Solitary,NA,Short
Colletes_californicus,NA,Ground,NA,Solitary,NA,Short
Colletes_cercidii,NA,Ground,NA,Solitary,NA,Short
Colletes_chamaesarachae,NA,Ground,NA,Solitary,NA,Short
Colletes_ciliatoides,NA,Ground,NA,Solitary,NA,Short
Colletes_clypeonitens,NA,Ground,NA,Solitary,NA,Short
Colletes_covilleae,NA,Ground,NA,Solitary,NA,Short
Colletes_daleae,NA,Ground,NA,Solitary,NA,Short
Colletes_delodontus,NA,Ground,NA,Solitary,NA,Short
Colletes_deserticola,NA,Ground,NA,Solitary,NA,Short
Colletes_eulophi,NA,Ground,NA,Solitary,NA,Short
Colletes_genalis,NA,Ground,NA,Solitary,NA,Short
Colletes_gilensis,NA,Ground,NA,Solitary,NA,Short
Colletes_gypsicolens,NA,Ground,NA,Solitary,NA,Short
Colletes_intermixus,NA,Ground,NA,Solitary,NA,Short
Colletes_kansensis,NA,Ground,NA,Solitary,NA,Short
Colletes_larreae,NA,Ground,NA,Solitary,NA,Short
Colletes_laticinctus,NA,Ground,NA,Solitary,NA,Short
Colletes_latitarsis,NA,Ground,NA,Solitary,Specialist,Short
Colletes_lineatus,NA,Ground,NA,Solitary,NA,Short
Colletes_linsleyi,NA,Ground,NA,Solitary,Specialist,Short
Colletes_longifacies,NA,Ground,NA,Solitary,NA,Short
Colletes_louisae,NA,Ground,NA,Solitary,NA,Short
Colletes_lucasi,NA,Ground,NA,Solitary,NA,Short
Colletes_mastochila,NA,Ground,NA,Solitary,NA,Short
Colletes_metzi,NA,Ground,NA,Solitary,NA,Short
Colletes_micheneri,NA,Ground,NA,Solitary,NA,Short
Colletes_mitchelli,NA,Ground,NA,Solitary,NA,Short
Colletes_nigrifrons,NA,Ground,NA,Solitary,Generalist,Short
Colletes_nitescens,NA,Ground,NA,Solitary,NA,Short
Colletes_ochraceus,NA,Ground,NA,Solitary,NA,Short
Colletes_ottomanus,NA,Ground,NA,Solitary,NA,Short
Colletes_perileucus,NA,Ground,NA,Solitary,NA,Short
Colletes_petalostemonis,NA,Ground,NA,Solitary,NA,Short
Colletes_platycnema,NA,Ground,NA,Solitary,NA,Short
Colletes_prosopidis,NA,Ground,NA,Solitary,NA,Short
Colletes_rubicola,NA,Ground,NA,Solitary,NA,Short
Colletes_rudis,NA,Ground,NA,Solitary,NA,Short
Colletes_rufocinctus,NA,Ground,NA,Solitary,Specialist,Short
Colletes_salicicola,NA,Ground,NA,Solitary,NA,Short
Colletes_saritensis,NA,Ground,NA,Solitary,NA,Short
Colletes_scopiventer,NA,Ground,NA,Solitary,NA,Short
Colletes_skinneri,NA,Ground,NA,Solitary,NA,Short
Colletes_solitarius,NA,Ground,NA,Solitary,NA,Short
Colletes_speculiferus,NA,Ground,NA,Solitary,NA,Short
Colletes_sphaeralcea,NA,Ground,NA,Solitary,NA,Short
Colletes_spilopterus,NA,Ground,NA,Solitary,NA,Short
Colletes_stepheni,NA,Ground,NA,Solitary,Specialist,Short
Colletes_swenki,NA,Ground,NA,Solitary,NA,Short
Colletes_tectiventris,NA,Ground,NA,Solitary,NA,Short
Colletes_thysanellae,NA,Ground,NA,Solitary,NA,Short
Colletes_timberlakei,NA,Ground,NA,Solitary,NA,Short
Colletes_trigonatus,NA,Ground,NA,Solitary,NA,Short
Colletes_turgiventris,NA,Ground,NA,Solitary,NA,Short
Colletes_vandykei,NA,Ground,NA,Solitary,NA,Short
Colletes_wickhami,NA,Ground,NA,Solitary,NA,Short
Colletes_wootoni,NA,Ground,NA,Solitary,NA,Short
Eulonchopria_punctatissima,NA,Ground,NA,Solitary,Specialist,Short
Conanthalictus_bakeri,NA,Ground,NA,Communal,Specialist,Short
Conanthalictus_caerulescens,NA,Ground,NA,Communal,Specialist,Short
Conanthalictus_cockerelli,NA,Ground,NA,Communal,Specialist,Short
Conanthalictus_conanthi,NA,Ground,NA,Communal,Specialist,Short
Conanthalictus_cotullensis,NA,Ground,NA,Communal,Specialist,Short
Conanthalictus_deserticola,NA,Ground,NA,Communal,Specialist,Short
Conanthalictus_macrops,NA,Ground,NA,Communal,Specialist,Short
Conanthalictus_mentzeliae,NA,Ground,NA,Communal,Specialist,Short
Conanthalictus_minor,NA,Ground,NA,Communal,Specialist,Short
Conanthalictus_namatophilus,NA,Ground,NA,Communal,Specialist,Short
Conanthalictus_nigricans,NA,Ground,NA,Communal,Specialist,Short
Conanthalictus_seminiger,NA,Ground,NA,Communal,Specialist,Short
Conanthalictus_wilmattae,NA,Ground,NA,Communal,Specialist,Short
Dufourea_afasciata,NA,Ground,NA,Solitary,Specialist,Short
Dufourea_australis,NA,Ground,NA,Solitary,Specialist,Short
Dufourea_bernardina,NA,Ground,NA,Solitary,Specialist,Short
Dufourea_bifida,NA,Ground,NA,Solitary,Specialist,Short
Dufourea_boharti,NA,Ground,NA,Solitary,Specialist,Short
Dufourea_boregoensis,NA,Ground,NA,Solitary,Specialist,Short
Dufourea_brevicornis,NA,Ground,NA,Solitary,Specialist,Short
Dufourea_calientensis,NA,Ground,NA,Solitary,Specialist,Short
Dufourea_californica,NA,Ground,NA,Solitary,Specialist,Short
Dufourea_calochorti,NA,Ground,NA,Solitary,Specialist,Short
Dufourea_campanulae,NA,Ground,NA,Solitary,Specialist,Short
Dufourea_contarovici,NA,Ground,NA,Solitary,Specialist,Short
Dufourea_convergens,NA,Ground,NA,Solitary,NA,Short
Dufourea_crassipes,NA,Ground,NA,Solitary,NA,Short
