site,plot,year,season,use,plot_notes
Crow,Cactus,2018,summer,T,
Crow,Cattle,2018,summer,T,
Crow,Gas,2018,summer,T,
Crow,Hill,2018,summer,T,
Davis,Cedarsnew,2018,summer,T,
Davis,Middlenew,2018,summer,T,
Davis,Townnew,2018,summer,T,
Hagerman,Bennett Hill,2018,summer,T,
Hagerman,Crow Hill,2018,summer,T,
Hagerman,Meadow Pond,2018,summer,T,
Hagerman,Upper,2018,summer,T,
Lewisville,Airfield,2018,summer,T,
Lewisville,Dam,2018,summer,T,
Lewisville,Oakland,2018,summer,T,
Lewisville,Westlake,2018,summer,T,
Stillhouse,50 Acres,2018,summer,T,
Stillhouse,Dana Peak,2018,summer,T,
Stillhouse,WMA5,2018,summer,T,
Waco,Area 111,2018,summer,T,
Waco,Area 12,2018,summer,T,
Waco,Area 48,2018,summer,T,covered in johnson grass. Remove?
Waco,Area 52,2018,summer,T,covered in johnson grass. Remove?
Wagley,Airstrip,2018,summer,T,
Wagley,Food,2018,summer,T,
Wagley,House,2018,summer,T,
Wagley,Watertrap,2018,summer,T,
Whitney,50 Acres,2018,summer,T,
Whitney,Flood,2018,summer,T,
Whitney,Main,2018,summer,T,
Whitney,Woods,2018,summer,T,
Clay,Brushy,2019,fall,T,
Clay,Deer,2019,fall,T,
Clay,Gate,2019,fall,T,
Clay,Middle,2019,fall,T,
Cross Timbers,50 Acres,2019,fall,T,
Cross Timbers,East,2019,fall,T,
Cross Timbers,Highway,2019,fall,T,
Cross Timbers,Middle,2019,fall,T,
Crow,Cactus,2019,fall,T,
Crow,Cattle,2019,fall,T,
Crow,Gas,2019,fall,T,
Crow,Hill,2019,fall,T,
Davis,Cedarsnew,2019,fall,T,
Davis,Middlenew,2019,fall,T,
Davis,Townnew,2019,fall,T,
Hagerman,Bennett Hill,2019,fall,T,
Hagerman,Crow Hill,2019,fall,T,
Hagerman,Meadow Pond,2019,fall,T,
Hagerman,Upper,2019,fall,T,
Lewisville,Airfield,2019,fall,T,
Lewisville,Dam,2019,fall,T,
Lewisville,Oakland,2019,fall,T,
Lewisville,Westlake,2019,fall,T,
Stillhouse,50 Acres,2019,fall,T,
Stillhouse,Dana Peak,2019,fall,T,
Stillhouse,WMA5,2019,fall,T,
Waco,Area 111,2019,fall,T,
Waco,Area 12,2019,fall,T,
Waco,Area 48,2019,fall,T,covered in johnson grass. Remove?
Waco,Area 52,2019,fall,T,covered in johnson grass. Remove?
Wagley,Airstrip,2019,fall,T,
Wagley,Food,2019,fall,T,
Wagley,House,2019,fall,T,
Wagley,Watertrap,2019,fall,T,
Whitney,50 Acres,2019,fall,T,
Whitney,Flood,2019,fall,T,
Whitney,Main,2019,fall,T,
Whitney,Woods,2019,fall,T,
Clay,Brushy,2019,spring,T,
Clay,Deer,2019,spring,T,
Clay,Gate,2019,spring,T,
Clay,Middle,2019,spring,T,
Cross Timbers,50 Acres,2019,spring,T,
Cross Timbers,East,2019,spring,T,
Cross Timbers,Highway,2019,spring,T,
Cross Timbers,Middle,2019,spring,T,
Crow,Cactus,2019,spring,T,
Crow,Cattle,2019,spring,T,
Crow,Gas,2019,spring,T,
Crow,Hill,2019,spring,T,
Davis,Cedarsnew,2019,spring,T,
Davis,Middlenew,2019,spring,T,
Davis,Townnew,2019,spring,T,
Hagerman,Bennett Hill,2019,spring,T,
Hagerman,Crow Hill,2019,spring,T,
Hagerman,Meadow Pond,2019,spring,T,
Hagerman,Upper,2019,spring,T,
Lewisville,Airfield,2019,spring,T,
Lewisville,Dam,2019,spring,T,
Lewisville,Oakland,2019,spring,T,
Lewisville,Westlake,2019,spring,T,
Stillhouse,50 Acres,2019,spring,T,
Stillhouse,Dana Peak,2019,spring,T,
Stillhouse,WMA5,2019,spring,T,
Waco,Area 111,2019,spring,T,
Waco,Area 12,2019,spring,T,
Waco,Area 48,2019,spring,T,covered in johnson grass. Remove?
Waco,Area 52,2019,spring,T,covered in johnson grass. Remove?
Wagley,Airstrip,2019,spring,T,
Wagley,Food,2019,spring,T,
Wagley,House,2019,spring,T,
Wagley,Watertrap,2019,spring,T,
Whitney,50 Acres,2019,spring,T,
Whitney,Flood,2019,spring,T,
Whitney,Main,2019,spring,T,
Whitney,Woods,2019,spring,T,
Clay,Brushy,2019,summer,T,
Clay,Deer,2019,summer,T,
Clay,Gate,2019,summer,T,
Clay,Middle,2019,summer,T,
Cross Timbers,50 Acres,2019,summer,T,
Cross Timbers,East,2019,summer,T,
Cross Timbers,Highway,2019,summer,T,
Cross Timbers,Middle,2019,summer,T,
Crow,Cactus,2019,summer,T,
Crow,Cattle,2019,summer,T,
Crow,Gas,2019,summer,T,
Crow,Hill,2019,summer,T,
Davis,Cedarsnew,2019,summer,T,
Davis,Middlenew,2019,summer,T,
Davis,Townnew,2019,summer,T,
Hagerman,Bennett Hill,2019,summer,T,
Hagerman,Crow Hill,2019,summer,T,
Hagerman,Meadow Pond,2019,summer,T,
Hagerman,Upper,2019,summer,T,
Lewisville,Airfield,2019,summer,T,
Lewisville,Dam,2019,summer,T,
Lewisville,Oakland,2019,summer,T,
Lewisville,Westlake,2019,summer,T,
Stillhouse,50 Acres,2019,summer,T,
Stillhouse,Dana Peak,2019,summer,T,
Stillhouse,WMA5,2019,summer,T,
Waco,Area 111,2019,summer,T,
Waco,Area 12,2019,summer,T,
Waco,Area 48,2019,summer,T,covered in johnson grass. Remove?
Waco,Area 52,2019,summer,T,flooded recently
Wagley,Airstrip,2019,summer,T,
Wagley,Food,2019,summer,T,
Wagley,House,2019,summer,T,
Wagley,Watertrap,2019,summer,T,
Whitney,50 Acres,2019,summer,T,
Whitney,Flood,2019,summer,T,
Whitney,Main,2019,summer,T,
Whitney,Woods,2019,summer,T,
Clay,Brushy,2020,fall,T,
Clay,Deer,2020,fall,T,
Clay,Gate,2020,fall,T,
Clay,Middle,2020,fall,T,
Cross Timbers,50 Acres,2020,fall,T,
Cross Timbers,East,2020,fall,T,
Cross Timbers,Highway,2020,fall,T,
Cross Timbers,Middle,2020,fall,T,
Crow,Cactus,2020,fall,T,
Crow,Cattle,2020,fall,T,
Crow,Gas,2020,fall,T,
Crow,Hill,2020,fall,T,
Hagerman,Bennett Hill,2020,fall,T,
Hagerman,Crow Hill,2020,fall,T,
Hagerman,Meadow Pond,2020,fall,T,
Hagerman,Upper,2020,fall,T,
Lewisville,Airfield,2020,fall,T,
Lewisville,Dam,2020,fall,F,"construction on dam, removed plot from study"
Lewisville,Oakland,2020,fall,T,
Lewisville,Westlake,2020,fall,T,
Stillhouse,50 Acres,2020,fall,T,
Stillhouse,Dana Peak,2020,fall,T,
Stillhouse,WMA5,2020,fall,T,
Waco,Area 111,2020,fall,T,
Waco,Area 12,2020,fall,T,
Waco,Area 48,2020,fall,T,covered in johnson grass. Remove?
Waco,Area 52,2020,fall,T,covered in johnson grass. Remove?
Wagley,Airstrip,2020,fall,T,
Wagley,Food,2020,fall,T,
Wagley,House,2020,fall,T,plot was partially plowed. Include?
Wagley,Watertrap,2020,fall,T,
Whitney,50 Acres,2020,fall,T,
Whitney,Flood,2020,fall,T,
Whitney,Main,2020,fall,T,
Whitney,Woods,2020,fall,T,
Davis,Cedarsnew,2020,spring,F,dropped out of project
Davis,Middlenew,2020,spring,F,dropped out of project
Davis,Townnew,2020,spring,F,dropped out of project
Clay,Brushy,2020,summer,T,
Clay,Deer,2020,summer,T,
Clay,Gate,2020,summer,T,
Clay,Middle,2020,summer,T,
Cross Timbers,50 Acres,2020,summer,T,
Cross Timbers,East,2020,summer,T,
Cross Timbers,Highway,2020,summer,T,
Cross Timbers,Middle,2020,summer,T,
Crow,Cactus,2020,summer,T,
Crow,Cattle,2020,summer,T,
Crow,Gas,2020,summer,T,
Crow,Hill,2020,summer,T,
Davis,Cedarsnew,2020,summer,F,dropped out of project
Davis,Middlenew,2020,summer,F,dropped out of project
Davis,Townnew,2020,summer,F,dropped out of project
Hagerman,Bennett Hill,2020,summer,T,
Hagerman,Crow Hill,2020,summer,T,
Hagerman,Meadow Pond,2020,summer,T,
Hagerman,Upper,2020,summer,T,
Lewisville,Airfield,2020,summer,T,
Lewisville,Dam,2020,summer,F,"construction on dam, removed plot from study"
Lewisville,Oakland,2020,summer,T,
Lewisville,Westlake,2020,summer,T,
Stillhouse,50 Acres,2020,summer,T,
Stillhouse,Dana Peak,2020,summer,T,
Stillhouse,WMA5,2020,summer,T,
Waco,Area 111,2020,summer,T,
Waco,Area 12,2020,summer,T,
Waco,Area 48,2020,summer,T,covered in johnson grass. Remove?
Waco,Area 52,2020,summer,T,covered in johnson grass. Remove?
Wagley,Airstrip,2020,summer,T,
Wagley,Food,2020,summer,T,
Wagley,House,2020,summer,T,plot was partially plowed. Include?
Wagley,Watertrap,2020,summer,T,
Whitney,50 Acres,2020,summer,T,
Whitney,Flood,2020,summer,T,
Whitney,Main,2020,summer,T,
Whitney,Woods,2020,summer,T,
Clay,Brushy,2021,fall,T,
Clay,Deer,2021,fall,T,
Clay,Gate,2021,fall,T,
Clay,Middle,2021,fall,T,
Cross Timbers,50 Acres,2021,fall,T,
Cross Timbers,East,2021,fall,T,
Cross Timbers,Highway,2021,fall,T,
Cross Timbers,Middle,2021,fall,T,
Crow,Cactus,2021,fall,T,
Crow,Cattle,2021,fall,T,
Crow,Gas,2021,fall,T,
Crow,Hill,2021,fall,T,
Davis,Cedarsnew,2021,fall,F,dropped out of project
Davis,Middlenew,2021,fall,F,dropped out of project
Davis,Townnew,2021,fall,F,dropped out of project
Hagerman,Bennett Hill,2021,fall,T,
Hagerman,Crow Hill,2021,fall,T,
Hagerman,Meadow Pond,2021,fall,T,
Hagerman,Upper,2021,fall,T,
Lewisville,Airfield,2021,fall,F,dropped out of project
Lewisville,Dam,2021,fall,F,"construction on dam, removed plot from study"
Lewisville,Oakland,2021,fall,F,dropped out of project
