Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
Clay Deer,-98.2223,32.8882,315,1/1/21,31.47,-0.1,1.1,2.3
Clay Deer,-98.2223,32.8882,315,1/2/21,0.4,-1.2,1.3,3.8
Clay Deer,-98.2223,32.8882,315,1/3/21,0,0.2,7.3,14.4
Clay Deer,-98.2223,32.8882,315,1/4/21,0,1.4,9.2,17.1
Clay Deer,-98.2223,32.8882,315,1/5/21,0,1.2,9.6,18.1
Clay Deer,-98.2223,32.8882,315,1/6/21,0,0.8,9.6,18.4
Clay Deer,-98.2223,32.8882,315,1/7/21,0,3.9,8.7,13.5
Clay Deer,-98.2223,32.8882,315,1/8/21,0,1.4,6.4,11.5
Clay Deer,-98.2223,32.8882,315,1/9/21,0,-3.4,2.9,9.3
Clay Deer,-98.2223,32.8882,315,1/10/21,15.83,-3.6,2.6,8.9
Clay Deer,-98.2223,32.8882,315,1/11/21,9.7,-0.1,1.4,2.9
Clay Deer,-98.2223,32.8882,315,1/12/21,0,-2.9,2.3,7.6
Clay Deer,-98.2223,32.8882,315,1/13/21,0,-3.3,3.9,11
Clay Deer,-98.2223,32.8882,315,1/14/21,0,-1.2,8.1,17.5
Clay Deer,-98.2223,32.8882,315,1/15/21,0,1.5,8.5,15.5
Clay Deer,-98.2223,32.8882,315,1/16/21,0,-0.6,5.7,11.9
Clay Deer,-98.2223,32.8882,315,1/17/21,0,-1.8,6.5,14.8
Clay Deer,-98.2223,32.8882,315,1/18/21,0,-0.3,7.4,15
Clay Deer,-98.2223,32.8882,315,1/19/21,0,2.5,12.1,21.7
Clay Deer,-98.2223,32.8882,315,1/20/21,1.4,5,8.3,11.6
Clay Deer,-98.2223,32.8882,315,1/21/21,9.19,4.5,6.6,8.7
Clay Deer,-98.2223,32.8882,315,1/22/21,0.45,7.2,10.9,14.5
Clay Deer,-98.2223,32.8882,315,1/23/21,0,5.6,7.7,9.7
Clay Deer,-98.2223,32.8882,315,1/24/21,0,7.4,10,12.5
Clay Deer,-98.2223,32.8882,315,1/25/21,4.62,7,12.4,17.9
Clay Deer,-98.2223,32.8882,315,1/26/21,0,1.2,10,18.7
Clay Deer,-98.2223,32.8882,315,1/27/21,0,0.1,6.5,13
Clay Deer,-98.2223,32.8882,315,1/28/21,0,-3.1,2.9,8.8
Clay Deer,-98.2223,32.8882,315,1/29/21,0,-3.5,3,9.5
Clay Deer,-98.2223,32.8882,315,1/30/21,0.26,2.5,9.9,17.3
Clay Deer,-98.2223,32.8882,315,1/31/21,0,3.8,12.7,21.7
Clay Deer,-98.2223,32.8882,315,2/1/21,0,0.8,6.9,13
Clay Deer,-98.2223,32.8882,315,2/2/21,0,-0.1,7.6,15.4
Clay Deer,-98.2223,32.8882,315,2/3/21,0,4.5,11.7,18.8
Clay Deer,-98.2223,32.8882,315,2/4/21,0,6.5,15.3,24.1
Clay Deer,-98.2223,32.8882,315,2/5/21,0,2.8,9.6,16.5
Clay Deer,-98.2223,32.8882,315,2/6/21,0,3.2,9.1,15
Clay Deer,-98.2223,32.8882,315,2/7/21,0,0.1,7.7,15.4
Clay Deer,-98.2223,32.8882,315,2/8/21,0,-0.1,8.9,17.9
Clay Deer,-98.2223,32.8882,315,2/9/21,0,-3,7.3,17.5
Clay Deer,-98.2223,32.8882,315,2/10/21,0,-3.7,-1.9,-0.1
Clay Deer,-98.2223,32.8882,315,2/11/21,0,-5.6,-3.6,-1.7
Clay Deer,-98.2223,32.8882,315,2/12/21,0,-6,-4.1,-2.2
Clay Deer,-98.2223,32.8882,315,2/13/21,0,-8.3,-5.7,-3
Clay Deer,-98.2223,32.8882,315,2/14/21,0.57,-9,-5.4,-1.7
Clay Deer,-98.2223,32.8882,315,2/15/21,13.97,-16.6,-12.6,-8.6
Clay Deer,-98.2223,32.8882,315,2/16/21,0,-19.5,-15.1,-10.6
Clay Deer,-98.2223,32.8882,315,2/17/21,3.09,-18.1,-12.7,-7.2
Clay Deer,-98.2223,32.8882,315,2/18/21,0,-8.4,-5.9,-3.4
Clay Deer,-98.2223,32.8882,315,2/19/21,0,-11.2,-6.4,-1.6
Clay Deer,-98.2223,32.8882,315,2/20/21,0,-11.4,-2,7.3
Clay Deer,-98.2223,32.8882,315,2/21/21,0,-2.3,7,16.3
Clay Deer,-98.2223,32.8882,315,2/22/21,0,2.2,11.4,20.5
Clay Deer,-98.2223,32.8882,315,2/23/21,0,2,12.2,22.4
Clay Deer,-98.2223,32.8882,315,2/24/21,0,6.7,17.1,27.4
Clay Deer,-98.2223,32.8882,315,2/25/21,0,5.5,12.4,19.3
Clay Deer,-98.2223,32.8882,315,2/26/21,19.2,5.9,7.7,9.5
Clay Deer,-98.2223,32.8882,315,2/27/21,0,6.3,11.3,16.3
Clay Deer,-98.2223,32.8882,315,2/28/21,0.34,11.7,15.7,19.6
Clay Deer,-98.2223,32.8882,315,3/1/21,0.3,7.4,13.1,18.8
Clay Deer,-98.2223,32.8882,315,3/2/21,0,2.2,8.5,14.8
Clay Deer,-98.2223,32.8882,315,3/3/21,0,1.8,9.5,17.2
Clay Deer,-98.2223,32.8882,315,3/4/21,0,-0.2,11.2,22.6
Clay Deer,-98.2223,32.8882,315,3/5/21,0,6,15.1,24.1
Clay Deer,-98.2223,32.8882,315,3/6/21,0,5.2,11.9,18.6
Clay Deer,-98.2223,32.8882,315,3/7/21,0,3.5,10.7,17.9
Clay Deer,-98.2223,32.8882,315,3/8/21,0,5.4,12.3,19.2
Clay Deer,-98.2223,32.8882,315,3/9/21,0,7.5,14.8,22.2
Clay Deer,-98.2223,32.8882,315,3/10/21,0,11.8,17,22.2
Clay Deer,-98.2223,32.8882,315,3/11/21,0,16.5,20.5,24.6
Clay Deer,-98.2223,32.8882,315,3/12/21,0,18.1,21.9,25.7
Clay Deer,-98.2223,32.8882,315,3/13/21,0,16.9,21.6,26.3
Clay Deer,-98.2223,32.8882,315,3/14/21,4.95,10.7,16.4,22.1
Clay Deer,-98.2223,32.8882,315,3/15/21,0,9,15.6,22.2
Clay Deer,-98.2223,32.8882,315,3/16/21,0,9.3,17.1,25
Clay Deer,-98.2223,32.8882,315,3/17/21,2.8,12.5,19.9,27.2
Clay Deer,-98.2223,32.8882,315,3/18/21,0,4.9,10.6,16.4
Clay Deer,-98.2223,32.8882,315,3/19/21,0,2.9,9.2,15.5
Clay Deer,-98.2223,32.8882,315,3/20/21,0,2.2,10,17.7
Clay Deer,-98.2223,32.8882,315,3/21/21,0,4.1,12.7,21.2
Clay Deer,-98.2223,32.8882,315,3/22/21,0,6.5,13.8,21.2
Clay Deer,-98.2223,32.8882,315,3/23/21,16.44,7.7,11.9,16
Clay Deer,-98.2223,32.8882,315,3/24/21,0,6.3,14.2,22
Clay Deer,-98.2223,32.8882,315,3/25/21,11.87,7.7,14.8,21.9
Clay Deer,-98.2223,32.8882,315,3/26/21,0.59,7.4,13.3,19.2
Clay Deer,-98.2223,32.8882,315,3/27/21,0,9.6,18.2,26.8
Clay Deer,-98.2223,32.8882,315,3/28/21,0,9.1,17.7,26.3
Clay Deer,-98.2223,32.8882,315,3/29/21,0,7.3,14.9,22.6
Clay Deer,-98.2223,32.8882,315,3/30/21,0,9.1,17.4,25.7
Clay Deer,-98.2223,32.8882,315,3/31/21,0,11.9,19.5,27
Clay Deer,-98.2223,32.8882,315,4/1/21,0,2,10.5,19
Clay Deer,-98.2223,32.8882,315,4/2/21,0,1.7,10.8,20
Clay Deer,-98.2223,32.8882,315,4/3/21,0,5.8,13.1,20.5
Clay Deer,-98.2223,32.8882,315,4/4/21,0,11.9,16.6,21.4
Clay Deer,-98.2223,32.8882,315,4/5/21,0,12.1,17.1,22.1
Clay Deer,-98.2223,32.8882,315,4/6/21,0,12.2,19.1,25.9
Clay Deer,-98.2223,32.8882,315,4/7/21,0,16.4,22.9,29.4
Clay Deer,-98.2223,32.8882,315,4/8/21,0,7.2,15.9,24.6
Clay Deer,-98.2223,32.8882,315,4/9/21,0,6.6,18.2,29.7
Clay Deer,-98.2223,32.8882,315,4/10/21,0,8.1,20.6,33.2
Clay Deer,-98.2223,32.8882,315,4/11/21,0,6.4,14.2,22.1
Clay Deer,-98.2223,32.8882,315,4/12/21,0,9,19.7,30.5
Clay Deer,-98.2223,32.8882,315,4/13/21,5.3,10.8,18.5,26.1
Clay Deer,-98.2223,32.8882,315,4/14/21,0,10.8,17,23.2
Clay Deer,-98.2223,32.8882,315,4/15/21,0,11.1,16.3,21.4
Clay Deer,-98.2223,32.8882,315,4/16/21,19.07,11.6,12.8,13.9
Clay Deer,-98.2223,32.8882,315,4/17/21,3.8,6.7,11.1,15.5
Clay Deer,-98.2223,32.8882,315,4/18/21,0,4.2,9,13.8
Clay Deer,-98.2223,32.8882,315,4/19/21,0,3.7,11.6,19.5
Clay Deer,-98.2223,32.8882,315,4/20/21,0,5.9,14.6,23.2
Clay Deer,-98.2223,32.8882,315,4/21/21,0,0.3,6.6,12.9
Clay Deer,-98.2223,32.8882,315,4/22/21,0,1,7.9,14.8
Clay Deer,-98.2223,32.8882,315,4/23/21,0,10.6,12.8,15.1
Clay Deer,-98.2223,32.8882,315,4/24/21,4.97,11.4,16.7,22
Clay Deer,-98.2223,32.8882,315,4/25/21,0,9.2,15.4,21.5
Clay Deer,-98.2223,32.8882,315,4/26/21,0,10.3,19.7,29.2
Clay Deer,-98.2223,32.8882,315,4/27/21,0,17.7,23,28.3
Clay Deer,-98.2223,32.8882,315,4/28/21,21.57,20.3,22.6,24.9
Clay Deer,-98.2223,32.8882,315,4/29/21,48.4,16.1,19.9,23.7
Clay Deer,-98.2223,32.8882,315,4/30/21,30.84,15.1,16.5,18
